productCode,section,category,name,onecname,extraDescription,description,size,color,country,manufacturer,packageSize,characteristics,measureUnit,stock,price,images
00000000027,Расходные материалы,Слюноотсосы и пылесосы,Слюноотсосы съемные одноразовые EURONDA,Слюноотсосы Евронда,слюноотсосы,"Прозрачные гибкие слюноотсосы (наконечники для слюноотсосов) изготовлены из нетоксичного материала. Стенки наконечника армирована гибкой металлической провокой, позволяющая придавать и удерживать нужную врачу форму. Всасывающая головка наконечника слюноотсоса имеет обтекаемую форму с пластичными прорезами, исключающими возможность раздражения слизистой оболочки полости рта пациента и способствует комфортному удалению слюны.",,Разные,Италия,,100 шт,Cлюноотсосы Monoart 100 шт,упак,34.0,1650.0,https://younico.by/1636-large_default/copy-of-slyunootsosy-prozrachnye-odnorazovye-monoart-euronda.jpg
00000000028,Полировочные системы,Полир,Полировочные головки Siliflex,Головки эластичные стоматологические Siliflex (СК12) (чашка),"Финишная полировка, полиры, полировочные резинки, Полировочные системы",Головки эластичные стоматологические Siliflex (СК12) (чашка),Чашка,"Бордовый, белый, голубой",,,1 шт,,шт,15.0,750.0,https://celit.ru/upload/iblock/cd5/cd536d2a5bff68642d1b238ada0788f4.png
00000000029,Полировочные системы,Полирующие щетки,Щетки полировочные,Щетки полировочные,"Щетки для полировки, щетки нейлоновые, полировочные щетки","Щетка полировочная стоматологическая используются для быстрой зеркальной полировки окклюзионных и вогнутых поверхностей реставраций из композитов, компомеров, стеклоиономеров и керамики, а также для профилактической обработки. Эффективная предварительная и зеркальная полировка, особенно для фиссур, бугорков и окклюзионных поверхностей. Полировальные частицы импрегнированы в каждую щетинку, поэтому пасты не требуется. Зеркальный блеск достигается быстрее, чем при использовании обычных полиров. Не повреждает эмаль зубов, поверхности и края пломб.",Чаша,"Белый, цветной",Россия,,1 шт,"Щетки для профилактики доступны трех степеней жесткости и подходят для целенаправленного удаления зубного налета и легкого зубного камня. Желтая - жесткая - версия необходима для особо стойких покрытий. Уменьшаются усилия и время, необходимые для полировки. Белые щетки средней жесткости - стандартные средства профилактики. Инструменты нежно-розового цвета позволяют работать с пациентом особенно бережно. Они облегчают профилактику чувствительных пациентов и обеспечивают бережную чистку ранее поврежденных зубов и десен.",шт,1.465,150.0,"https://images.satu.kz/197673289_w640_h640_197673289.jpg , https://stompharm.kg/uploads/dcb80f3f2234fae4fbc75f667adec3bfdb331c45.jpeg"
000000000291,Полировочные системы,Полирующие щетки,Щетки полировочные,Щетки полировочные,"Щетки для полировки, щетки нейлоновые, полировочные щетки","Щетка полировочная стоматологическая используются для быстрой зеркальной полировки окклюзионных и вогнутых поверхностей реставраций из композитов, компомеров, стеклоиономеров и керамики, а также для профилактической обработки. Эффективная предварительная и зеркальная полировка, особенно для фиссур, бугорков и окклюзионных поверхностей. Полировальные частицы импрегнированы в каждую щетинку, поэтому пасты не требуется. Зеркальный блеск достигается быстрее, чем при использовании обычных полиров. Не повреждает эмаль зубов, поверхности и края пломб.",Пламя,"Белый, цветной",Россия,,1 шт,"Щетки для профилактики доступны трех степеней жесткости и подходят для целенаправленного удаления зубного налета и легкого зубного камня. Желтая - жесткая - версия необходима для особо стойких покрытий. Уменьшаются усилия и время, необходимые для полировки. Белые щетки средней жесткости - стандартные средства профилактики. Инструменты нежно-розового цвета позволяют работать с пациентом особенно бережно. Они облегчают профилактику чувствительных пациентов и обеспечивают бережную чистку ранее поврежденных зубов и десен.",шт,1.465,150.0,"https://images.satu.kz/197673289_w640_h640_197673289.jpg , https://stompharm.kg/uploads/dcb80f3f2234fae4fbc75f667adec3bfdb331c45.jpeg"
00000000030,Расходные материалы,Одноразовое и стерильное белье,Халат хирургический стерильный,Халаты стерильные,Халаты стерильные,"Халат хирургический стерильный одноразовый выполнен для удобства работы персонала с трикотажной  манжетой и застежкой на спине. Халат предназначен для персонала лечебно-профилактических учреждений и используется в приемных отделениях, дез. блоках, в перевязочных и др. Материал халата спанбонд. Халат обладает водоотталкивающими свойствами, воздухопроницаем, нетоксичен, устойчив к воздействию кислот и щелочей",120 см,"Белый, голубой",Россия,,1 шт,,шт,85.0,750.0,https://images.satu.kz/65626630_w640_h640_65626630.jpg
00000000032,Расходные материалы,Одноразовое и стерильное белье,Халат хирургический нестерильный,Халат нестерильный,халат нестирильный,"Халат хирургический нестерильный 120см, -относятся к расходным продуктам, изготавливаются из нетканых материалов и обладают высокой прочностью и малым весом. В отличие от фартуков полностью защищают туловище, руки и часть ног. Удобны, не затрудняют процесс проведения процедур, не вызывают аллергических реакций. Так как медицинские операции зачастую проходят в течение очень продолжительного времени, врачам необходимо создать комфортные условия для работы.Медицинские одноразовые   халаты из нетканых материалов используются для применения во всех помещениях стационаров, процедурных кабинетах и перевязочных, на пищевом производстве, в чистых помещениях, а так же в лабораториях",120 см,"Белый, голубой",Россия,,1 шт,,шт,113.0,350.0,https://medstore.kz/shop/products/9882/8C4LHV8T.jpg
00000000033,Терапия,Система раббердам (коффердам),Платки немецкие,Diamond burs/Платки немецкие,"Платки для коффердама, немецкие платки, латексные платки","Платки ""Dental Dam"" для изоляции ротовой полости из натурального латекса без ароматизации.
Широкий ассортимент толщины и цвета позволяет выбрать тип платка, обеспечивающий максимальный комфорт врачу и пациенту. Харктеристики: Цвет: зеленые; Размер 152х152 мм; MEDIUM (средние).",Средний,Синий,Германия,Kentzler-Kaschner Dental,Упаковка 36 штук.,"Платок для коффердама, немецкие платки",упак,1.0,10000.0,https://gerl-dental.de/media/image/2e/6c/34/129014MmehijbhTLhhy_600x600.jpg
00000000035,Расходные материалы,Блокноты,Блокноты для замешивания,Блок д/замешивания  60*60 (50 листов),,Блок д/замешивания  60*60 (50 листов),60*60 см,Белый,Россия,,50 шт,,шт,24.0,400.0,https://heliy.kz/upload/iblock/3f0/3f03a8c382001951b4aa5936be44a626.jpg
00000000038,Эндодонтия,Ручные файлы,Пульпоэкстракторы,Пульпоэкстракторы,Пульпоэкстракторы,"ндодонтический инструмент вводится в канал зуба, поворачивается вокруг своей оси на угол 90°—180° до полного зацепления пульпы и извлекается.
В связи с тем, что пульпоэкстракторы из углеродистой стали они могут быть хрупкими и ломкими инструментами.
Поэтому пульпоэкстракторы применяют только в хорошо проходимых каналах, когда исключено заклинивание и отлом инструмента.",50 мм,,Россия,,100 шт,,упак,29.0,3900.0,https://shop.dentomir.ru/upload/resize_cache/iblock/131/250_500_1/1317e61de8e895523c3effda6546a406.png
00000000039,Расходные материалы,Слюноотсосы и пылесосы,Наконечник для слюноотсоса Евронда ЕМ21,ЕМ21 Наконечники для слюноотсосов,Пылесосы,"Monoart EM21 Evo – универсальный наконечник для хирургического аспиратора. Диаметр крепления 11мм. Длина 114мм. Предназначен для манипуляций со взрослыми пациентами. Линейный, с нескользящей ручкой. Скругленная форма для большего комфорта пациента. Автоклавирование при 134 градусах.",ЕМ21,,Италия,Евронда,1 шт,,шт,2.0,900.0,https://www.nika-dent.ru/upload/iblock/1a9/to63qjsd58868ws3t4wyt8a0yjnlmnk0.jpg
00000000041,Расходные материалы,Разное,Ватные валики Евронда,Валики Евронда,валики,Валики Евронда,,Белый,Италия,Евронда,Упаковка 300 гр - 600/840 шт/упак,,упак,20.0,3300.0,https://shop.dentomir.ru/upload/iblock/81d/81dd8c73b6f8ad615ed823246ab23640.jpg
00000000042,Ортопедия,Ретракция десны,Ретракционная нить Sure Code ,Ретракционная нить Sure Code 0,"нить ,ретракционная нить","ОПИСАНИЕ: НИТЬ РЕТРАКЦИОННАЯ AL SURE CORD PLUS №0 (С ПРОПИТКОЙ), 203СМ
=======
00000000010,Расходные Материалы,Одноразовое И Стерильное Белье,Салфетки нагрудные,Салфетки Евронда,"салфетки ,","Из гофрированной бумаги
Не содержит хлора и диоксина
Предотвращает окисление и появление ржавчины на инструментах
Удаляет остаточную влагу при стерилизации неупакованных инструментов",50шт,,Италия,,1,"Цвет: Разное
Размер: 18 х 28 см
Производитель: Euronda",шт,1.985,1250.0,https://denttrade.kg/wp-content/uploads/2020/01/5e3931e3ad6ff.jpg
00000000011,Расходные Материалы,Одноразовое И Стерильное Белье,Передники,Салфетки ламинированные Standart 33*45,"салфетки ,нагудник","Индивидуальное гигиеническое средство - салфетка. Используется для накрывания груди клиента/пациента в целях защиты одежды во время косметологических, стоматологических и других  процедур. размер 33*45 см (330*450 мм) Подробнее: https://krasno.kz/p38051364-salfetki-3345-nagrudnye.html",500шт/коробка,,Россия,,1,"В 1 пачке 20 шт 

в 1 коробке 500 шт

Размер коробки (25*36*25) Подробнее: https://krasno.kz/p38051364-salfetki-3345-nagrudnye.html",шт,7.5,6000.0,https://images.satu.kz/70023417_w640_h640_salfetki-3345-nagrudnye.jpg
00000000013,Расходные Материалы,Одноразовое И Стерильное Белье,Бахилы,Бахилы из прочного полиэтилена 20 мкм на резинке н/стер,,Бахилы из прочного полиэтилена 20 мкм на резинке н/стер,,Синий,Россия,,,,шт,1.5,800.0,https://el-dent.ru/UserFiles/Image/img5060_22237_big.jpg
00000000014,Расходные Материалы,Одноразовое И Стерильное Белье,Маска медицинская,Маска трехслойная,"Маски, защитные маски, медицинские маски","Изготовлены из высококачественных нетканных материалов, которые обеспечивают высокую степень фильтрации и препятствуют проникновению биологических жидкостей. Маски обладают высокой воздухопроницаемостью, сохраняя при этом антибактериальную эффективность на максимальном уровне.
Внутренний слой отличается низким уровнем ворсоотделения, отвечающий высоким требованиям по уровню комфорта и защиты.",,Голубой,Китай,Biola,50 шт.,,упак,3.0,500.0,https://resources.cdn-kaspi.kz/img/m/p/he9/h98/64124956704798.jpg?format=gallery-large
00000000015,Расходные Материалы,Ретракторы И Роторасширители,OptraGate Regular,OptraGate Regular,"Роторасширители, прикусные блоки, оптрагейты, регуляр, regular","OptraGate - это вспомогательное средство для увеличения рабочего поля просто, эффективно и комфортно. Губы и щеки полностью отодвигаются, за счет чего обеспечивается относительная изоляция рабочего поля от слюны. OptraGate комфортен даже при длительном наложении благодаря своей трехмерной гибкости. OptraGate обеспечивает стоматологам и ассистентам упрощенный доступ к заметно увеличенному рабочему полю.
Приспособление создает мягкую круговую ретракцию губ и щек от передних до боковых зубов без использования каких-либо громоздких инструментов. Губы полностью перекрываются, тем самым обеспечивается их защита.",R,Белый,Германия,Ivoclar Vivadent,1 штук,"Размеры: small, junior, regular",шт,,900.0,https://shop.dentomir.ru/upload/iblock/f9d/f9dff6754edf9863c954ea1c3d019c39.jpg
00000000016,Расходные Материалы,Одноразовое И Стерильное Белье,Шапочка-берет,Шапочка-берет,"Шапочка, медицинская шапочка, берет, с резинкой","Шапочка-берет - это идеальный выбор для защиты головы от влаги и сохранения комфорта во время использования. Высокая степень воздухопроницаемости,  эргономичность, гипоаллергенность; воздухопроницаемость; отсутствие токсичности; гидрофобные особенности; устойчивость к кислотам; маленький вес, надежная фиксация.",15 г/м2,Белый,Россия,Unite,100 шт,Шапочка не оставляет следов на голове и исключает возможность передавливания сосудов.,упак,2.8,1500.0,"https://basket-04.wbbasket.ru/vol672/part67282/67282022/images/big/1.jpg,https://s13emagst.akamaized.net/products/29786/29785984/images/res_286722b94c146c60180db4548cfd71e2.jpg"
00000000017,Расходные Материалы,Ретракторы И Роторасширители,OptraGate,ОптраГейт-ретрактор о/р малый,"ОПТРАГЕЙТ (OPTRAGATE) ,ретрактор","OptraGate — новшество в стоматологии, обеспечивает комфорт и высокое качество работы. Оптрагейт — ротовой ретрактор губ, одноразового использования","Regular — стандартные (8,5*7,5 см), Small — маленькие (7,5 х 6,5 см), Junior — подростковые (7,5 х 5,0 см) — для детей от 5 до 10 лет",,,,1,,шт,44.0,900.0,https://dentalshop.kz/dentalshop/images/optragejt.jpg
00000000018,Расходные Материалы,Аппликаторы,Микроаппликаторы,Микроапликаторы 1 черные,"микроаппликатор, микробраш, аппликатор","Микроаппликаторы стоматологические Clean+Safe предназначены для нанесения бондинговых систем, протравочных стоматологических гелей, жидкотекучих материалов. Экономичное и удобное внесение (аппликация) стоматологических материалов.",,Черный,Малайзия,Clean+Safe,100 шт.,"Универсальные средства для комфортного нанесения медикаментозных препаратов, а также различных растворов и вязких веществ.",упак,48.0,1400.0,https://proteco.kz/upload/iblock/f7c/qgyzzx6av301mz43wtticcgxjyba3xvp.jpg
00000000019,Полировочные Системы,Полир,Диски для финишной обработки Enhance Finishing Cups,Чашки для финишной обработки Enhance Finishing Cups №30,"Энхансы, полировочные чашки, полировка, финишная обработка, обработка и полировка","Система для полировки и финишной обработки Enhance Composite Finishing & Polishing System создана для проведения финишной обработки композитных материалов, используемых во фронтальной и жевательной группах зубов, а также для применения в любых других случаях, требующих финишной обработки.  Форма ""чашка"" используется для обработки окклюзионных поверхностей моляров и премоляров. С помощью полиров Enhance возможно проводить контурирование и финирование одним инструментом, лишь изменяя силу нажатия.",,Бежевый,США,Dentsply Sirona,1 шт,"Контурирование, придание окончательной формы и полировка реставраций из композитных материалов.",шт,148.0,1400.0,
00000000020,Полировочные Системы,Полир,Чашки для финишной обработки Enhance Finishing Cups,Чашки для финишной обработки Enhance Finishing Cups №30,"Энхансы, полировочные чашки, полировка, финишная обработка, обработка и полировка","Система для полировки и финишной обработки Enhance Composite Finishing & Polishing System создана для проведения финишной обработки композитных материалов, используемых во фронтальной и жевательной группах зубов, а также для применения в любых других случаях, требующих финишной обработки.  Форма ""чашка"" используется для обработки окклюзионных поверхностей моляров и премоляров. С помощью полиров Enhance возможно проводить контурирование и финирование одним инструментом, лишь изменяя силу нажатия.",,Бежевый,США,Dentsply Sirona,1 шт,"Контурирование, придание окончательной формы и полировка реставраций из композитных материалов.",шт,148.0,1400.0,"https://lavka-dantista.ru/upload/iblock/5fc/5fcda36d05a332e457b174a9cbfc9c59.jpg , https://cdn1.ozone.ru/s3/multimedia-3/c500/6547027419.jpg"
00000000021,Терапия,Штифты,Штифт внутриканальный,"Штифт внутриканальный L1, L2,L3","Штифты, инструменты для эндодонтии, штифты внутриканальные","Внутриканальный анкерный титановый штифт от российского производителя «Форма» незаменим при дополнительном укреплении поврежденного зуба. Форма и размер штифтов разная, что позволяет работать с разными элементами зубного ряда. Конструкция позволяет быстро и легко установить и зафиксировать штифт в корневой канал.","L1, L2,L3",Золотистый,Россия,ООО «ФОРМА»,12 шт,Штифты  внутриканальный,упак,21.0,1000.0,https://www.tdspiter.ru/images/thumbnails/1024/1024/detailed/3/620b2c6f-9e01-4d64-9a4d-22aea208b7c8_8b4ad565-bd3b-11e6-b153-000c297447de.jpeg
00000000022,Полировочные Системы,Полир,Конусы для финишной обработки Enhance Finishing Cups,Конусы для финишной обработки Enhance Finishing Points №30,"Энхенс, энханс, полировка, финишная",Полиры Enhance Finishing одноразовые для финишной обработки.,,,США,Dentsply Sirona,,,шт,128.0,1400.0,https://shop.dentomir.ru/upload/iblock/d46/d466c5b321eab1eb09bcd915ea4b9506.png
00000000023,Полировочные Системы,Полир,Полировочные головки Siliflex,Головки эластичные стоматологические Siliflex (СК14) (диск),"Финишная полировка, полиры, полировочные резинки, Полировочные системы",Головки эластичные стоматологические Siliflex (СК14) (диск),,,,,,,шт,3.0,750.0,https://celit.ru/upload/iblock/cd5/cd536d2a5bff68642d1b238ada0788f4.png
00000000025,Полировочные Системы,Полир,Полировочные головки Siliflex,Головки элостичные silflex голубые,"Финишная полировка, полиры, полировочные резинки, Полировочные системы",Головки элостичные silflex голубые,,,,,,,шт,124.0,750.0,https://celit.ru/upload/iblock/cd5/cd536d2a5bff68642d1b238ada0788f4.png
00000000027,Расходные Материалы,Слюноотсосы И Пылесосы,Слюноотсосы съемные одноразовые EURONDA,Слюноотсосы Евронда,слюноотсосы,"Прозрачные гибкие слюноотсосы (наконечники для слюноотсосов) изготовлены из нетоксичного материала. Стенки наконечника армирована гибкой металлической провокой, позволяющая придавать и удерживать нужную врачу форму. Всасывающая головка наконечника слюноотсоса имеет обтекаемую форму с пластичными прорезами, исключающими возможность раздражения слизистой оболочки полости рта пациента и способствует комфортному удалению слюны.",,Разные,Италия,,100,Cлюноотсосы Monoart 100 штук  (прозрачные),шт,34.0,1700.0,https://younico.by/1636-large_default/copy-of-slyunootsosy-prozrachnye-odnorazovye-monoart-euronda.jpg
00000000028,Полировочные Системы,Полир,Полировочные головки Siliflex,Головки эластичные стоматологические Siliflex (СК12) (чашка),"Финишная полировка, полиры, полировочные резинки, Полировочные системы",Головки эластичные стоматологические Siliflex (СК12) (чашка),,,,,,,шт,15.0,750.0,https://celit.ru/upload/iblock/cd5/cd536d2a5bff68642d1b238ada0788f4.png
00000000029,Полировочные Системы,Полирующие Щетки,Щетки полировочные,Щетки полировочные,"Щетки для полировки, щетки нейлоновые, полировочные щетки","Щетка полировочная стоматологическая используются для быстрой зеркальной полировки окклюзионных и вогнутых поверхностей реставраций из композитов, компомеров, стеклоиономеров и керамики, а также для профилактической обработки. Эффективная предварительная и зеркальная полировка, особенно для фиссур, бугорков и окклюзионных поверхностей. Полировальные частицы импрегнированы в каждую щетинку, поэтому пасты не требуется. Зеркальный блеск достигается быстрее, чем при использовании обычных полиров. Не повреждает эмаль зубов, поверхности и края пломб.",,Белый,Китай,,1 шт,Белые щетки средней жесткости,шт,1.465,150.0,"https://images.satu.kz/197673289_w640_h640_197673289.jpg , https://stompharm.kg/uploads/dcb80f3f2234fae4fbc75f667adec3bfdb331c45.jpeg"
